구분,날짜,분류,금액,메모
수입,2026-01-05,급여,3200000,1월 급여
수입,2026-01-15,부업,450000,블로그 광고수익
지출,2026-01-02,식비,8500,아침 김밥천국
지출,2026-01-05,교통,62000,교통카드 충전
지출,2026-01-07,공과금,85000,전기요금
지출,2026-01-08,통신,52000,핸드폰 요금
지출,2026-01-10,식비,32000,마트 장보기
지출,2026-01-12,문화,15000,넷플릭스 구독
지출,2026-01-18,쇼핑,129000,겨울 패딩
지출,2026-01-22,식비,45000,가족외식 삼겹살
지출,2026-01-25,의료,35000,감기약 병원비
수입,2026-02-05,급여,3200000,2월 급여
수입,2026-02-10,이자,12000,적금 이자
지출,2026-02-01,식비,6800,편의점 도시락
지출,2026-02-03,교통,1400,버스
지출,2026-02-06,공과금,92000,가스요금
지출,2026-02-08,통신,52000,핸드폰 요금
지출,2026-02-11,식비,28000,마트 장보기
지출,2026-02-14,문화,54000,영화+팝콘 (발렌타인)
지출,2026-02-17,쇼핑,39000,운동화
지출,2026-02-20,식비,12500,점심 김치찌개
지출,2026-02-24,교육,89000,온라인 강의 결제
지출,2026-02-27,의료,15000,치과 스케일링
수입,2026-03-05,급여,3200000,3월 급여
수입,2026-03-12,부업,380000,크몽 외주 수익
수입,2026-03-20,용돈,100000,부모님 용돈
지출,2026-03-02,식비,9200,아침 토스트+커피
지출,2026-03-05,교통,62000,교통카드 충전
지출,2026-03-07,공과금,78000,수도요금
지출,2026-03-08,통신,52000,핸드폰 요금
지출,2026-03-10,식비,41000,마트 장보기
지출,2026-03-11,문화,500000,헬스장 6개월
지출,2026-03-15,쇼핑,23000,다이소 생활용품
지출,2026-03-18,식비,58000,회식 참석
지출,2026-03-22,교육,45000,C# 교재 구입
지출,2026-03-25,기타,30000,경조사비
